Comment ID,Website,Category,Is Article,Comment Title,Comment Text,User ID,Parent ID,Parent Title,Parent Text,Parent User ID,Comment Time,Segmented Text
93399185,HR,Chats,True,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,93399185,Musk对Tesla员工说要么return to Office要么走人,,,2022-06-01 07:19,"Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走 人 
 对 wfh   0   容忍 啊 ， 其他 公司 不知 会否 follow   suit 
 
 https : / / www . bloomberg . com / news / articles / 2022 - 06 - 01 / musk - s - tesla - ultimatum - return - to - office - or - work - somewhere - else"
93399216,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,"是对Exec staff ,不是所有general employee 吧？",457399,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 07:27,"Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走人 是 对 Exec   staff   , 不是 所有 general   employee   吧 ？"
93399255,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,Recession 大裁员的时候估计是公司要求员工全体回办公室最好的时机。,115525,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 07:35,Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走人 Recession   大 裁员 的 时候 估计 是 公司 要求 员工 全体 回 办公室 最好 的 时机 。
93399283,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,挺好的，讨厌wfh,385317,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 07:42,Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走人 挺 好 的 ， 讨厌 wfh
93399316,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,"回复 2楼andolomeda的帖子
这message当然是top down传下去啊",390142,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 07:48,"Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走 人 回复   2 楼 andolomeda 的 帖子 
 这 message 当然 是 top   down 传下去 啊"
93399435,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,Wfh确实摸鱼比较多啊。大家不是吗？还是就我这样？我得检讨一下去。主要各种干扰太多了。,170470,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 08:13,Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走人 Wfh 确实 摸鱼 比较 多 啊 。 大家 不是 吗 ？ 还是 就 我 这样 ？ 我 得 检讨 一 下去 。 主要 各种 干扰 太多 了 。
93399450,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,原来是这厮。妈的 特斯拉和那些高科技公司都是我们的客户。所以怪不得昨天开早会说什么要回来上班。妈的原来是他这个货，美国马云996。我就想 昨天好好的怎么就吃饱了要大家准备听通知要回来上班。我靠。这个深井冰,341665,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 08:17,Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走 人 原来 是 这 厮 。 妈 的   特斯拉 和 那些 高科技 公司 都 是 我们 的 客户 。 所以 怪不得 昨天 开早 会 说 什么 要 回来 上班 。 妈 的 原来 是 他 这个 货 ， 美国 马云 996 。 我 就 想   昨天 好好 的 怎么 就 吃饱 了 要 大家 准备 听 通知 要 回来 上班 。 我 靠 。 这个 深井 冰
93399467,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,"疫情初期他不就是这个想法吗，还为此跟比尔盖茨吵架。
特斯拉绝对是高科技公司的异类。",398050,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 08:21,"Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走 人 疫情 初期 他 不 就是 这个 想法 吗 ， 还 为此 跟 比尔盖茨 吵架 。 
 特斯拉 绝对 是 高科技 公司 的 异类 。"
93399483,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,"Wfh确实摸鱼比较多啊。大家不是吗？还是就我这样？我得检讨一下去。主要各种干扰太多了。
王力宏 发表于 2022-06-01 08:13
Honestly, wfh之后完全不干了",446087,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 08:24,"Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走人 Wfh 确实 摸鱼 比较 多 啊 。 大家 不是 吗 ？ 还是 就 我 这样 ？ 我 得 检讨 一 下去 。 主要 各种 干扰 太多 了 。 
 王力宏   发表 于   2022 - 06 - 01   08 : 13 
 Honestly ,   wfh 之后 完全 不干 了"
93399487,HR,Chats,False,Musk对Tesla员工说要么return to Office要么走人,这货太烦了。谁能把这货弄倒台就好了。特别惹人嫌。这个货当首富就和川普当时当总统一样 整天惹人嫌。还是比尔盖茨decent点。暴发户嘴脸神烦,341665,93399185,Musk对Tesla员工说要么return to Office要么走人,"
对wfh 0 容忍啊，其他公司不知会否follow suit

https://www.bloomberg.com/news/articles/2022-06-01/musk-s-tesla-ultimatum-return-to-office-or-work-somewhere-else",390142,2022-06-01 08:24,Musk 对 Tesla 员工 说 要么 return   to   Office 要么 走人 这货 太烦 了 。 谁 能 把 这货 弄 倒台 就 好 了 。 特别 惹人嫌 。 这个 货当 首富 就 和 川普 当时 当 总统 一样   整天 惹人嫌 。 还是 比尔盖茨 decent 点 。 暴发户 嘴脸 神烦
